brand,model,year,price,dummy
Mitsubishi,ASX NEW,2021,1 354 000 ₽,1
Renault,Duster NEW,2021,1 375 000 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Lada,Vesta SW,2021,809 900 ₽,1
Уаз,Патриот New,2021,1 119 900 ₽,1
Jeep,Grand Cherokee,2021,4 555 000 ₽,1
Lada,Granta универсал,2021,535 500 ₽,1
Citroen,Jumpy Profi,2021,2 724 900 ₽,1
Kia,Rio NEW,2021,1 034 900 ₽,1
Suzuki,SX4,2021,1 359 990 ₽,1
Kia,Ceed SW,2021,1 524 900 ₽,1
Hyundai,Creta,2021,1 292 000 ₽,1
Renault,Duster NEW,2021,1 400 000 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Lada,Niva Travel,2021,685 900 ₽,1
Cheryexeed,TXL,2021,2 249 900 ₽,1
Kia,Cerato,2021,1 427 900 ₽,1
Kia,Rio X,2021,1 100 900 ₽,1
Peugeot,Traveller,2021,2 419 900 ₽,1
Lada,Granta лифтбек,2021,572 900 ₽,1
Citroen,SpaceTourer,2021,3 159 900 ₽,1
Citroen,Jumpy,2021,1 706 900 ₽,1
Renault,Duster NEW,2021,1 253 000 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Kia,Cerato,2021,1 427 900 ₽,1
Kia,K5,2021,2 132 900 ₽,1
Renault,Logan Stepway,2021,822 000 ₽,1
Hyundai,Tucson NEW,2021,2 132 000 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Chery,Tiggo 7 Pro,2021,1 519 900 ₽,1
Lada,XRAY Cross,2021,745 900 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Kia,Cerato,2021,1 515 900 ₽,1
Renault,Duster NEW,2021,1 400 000 ₽,1
Kia,Sportage,2021,1 907 900 ₽,1
Renault,Kaptur,2021,1 513 000 ₽,1
Citroen,SpaceTourer,2021,3 119 900 ₽,1
Lada,Granta Drive Active,2021,646 900 ₽,1
Kia,Seltos,2021,1 593 900 ₽,1
Hyundai,Tucson NEW,2021,2 647 000 ₽,1
Kia,Rio NEW,2021,1 034 900 ₽,1
Suzuki,Vitara,2021,1 339 990 ₽,1
Hyundai,Solaris NEW,2021,991 000 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Renault,Duster NEW,2021,1 149 000 ₽,1
Renault,Duster NEW,2021,1 399 000 ₽,1
Suzuki,SX4,2021,1 359 990 ₽,1
Kia,Rio X,2021,1 129 900 ₽,1
Lada,Vesta SW,2021,857 900 ₽,1
Lada,Vesta,2021,660 900 ₽,1
Kia,Picanto,2021,1 000 900 ₽,1
Renault,Sandero Stepway,2021,852 000 ₽,1
Kia,K5,2021,2 132 900 ₽,1
Renault,Duster NEW,2021,1 325 000 ₽,1
Lada,Granta,2021,620 800 ₽,1
Renault,Logan Stepway,2021,822 000 ₽,1
Lada,Vesta SW,2021,857 900 ₽,1
Lada,XRAY Cross,2021,745 900 ₽,1
Kia,Ceed SW,2021,1 524 900 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Renault,Logan Stepway,2021,893 000 ₽,1
Kia,Rio X,2021,1 135 900 ₽,1
Lada,Vesta,2021,790 900 ₽,1
Kia,Rio NEW,2021,1 040 900 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Lada,Vesta,2021,678 900 ₽,1
Jeep,Grand Cherokee,2021,4 600 000 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Lada,XRAY Cross,2021,745 900 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Peugeot,2008,2021,2 069 000 ₽,1
Kia,Rio X,2021,1 054 900 ₽,1
Renault,Kaptur,2021,1 623 000 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Lada,Granta,2021,608 800 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Kia,Cerato,2021,1 460 900 ₽,1
Lada,XRAY Cross,2021,745 900 ₽,1
Kia,Seltos,2021,1 673 900 ₽,1
Suzuki,Jimny,2021,1 769 990 ₽,1
Lada,Niva Travel,2021,797 900 ₽,1
Hyundai,Solaris NEW,2021,1 146 000 ₽,1
Jeep,Grand Cherokee,2021,4 305 000 ₽,1
Kia,K5,2021,1 752 900 ₽,1
Renault,Duster NEW,2021,1 149 000 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Kia,Sportage,2021,1 827 900 ₽,1
Kia,Seltos,2021,1 673 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Kia,Sportage,2021,2 442 900 ₽,1
Chery,Tiggo 4,2021,1 349 900 ₽,1
Renault,Duster NEW,2021,1 429 000 ₽,1
Lada,Vesta,2021,859 900 ₽,1
Kia,Rio X,2021,1 129 900 ₽,1
Kia,Seltos,2021,1 621 900 ₽,1
Renault,Duster NEW,2021,1 359 000 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
