area_sqm,price,region
68.8,4500000,"Тюменская область, Нижневартовск"
46.0,2150000,"Республика Дагестан, Каспийск"
84.4,9800000,"Московская область, Ленинский г.о., Видное"
55.0,4600000,"Республика Дагестан, Махачкала"
66.7,3479000,"Московская область, г.о. Пушкинский, Красноармейск"
33.3,6600000,"Московская область, Химки"
60.0,3750000,"Ставропольский край, Пятигорск"
17.6,2000000,"Республика Татарстан, Казань"
47.6,1450000,"Челябинская область, Озерский г.о., Озерск"
85.0,22400000,Москва
50.0,4900000,"Свердловская область, Екатеринбург"
42.8,2750000,
58.3,9590350,
39.7,7690000,
45.0,1670000,"Республика Башкортостан, Стерлитамак"
56.6,1795000,"Белгородская область, Корочанский р-н, Короча"
31.3,4150000,"Московская область, Щёлково"
36.7,6367450,
39.2,3300000,
35.5,4725490,
38.5,1800000,"Тюменская область, Урай"
43.0,5150000,"Краснодарский край, Анапа"
57.0,5450000,"Краснодарский край, Краснодар"
81.8,11890000,"Республика Татарстан, Казань"
50.4,1700000,"Республика Башкортостан, Салават"
26.0,2990000,"Красноярский край, Красноярск"
56.0,4700000,"Тюменская область, Тюмень"
