area_sqm,price,region
55.8,4900000,"Московская область, Большие Вяземы"
44.6,5623380,"Ленинградская область, Мурино"
54.1,6951850,Санкт-Петербург
63.5,12350750,Санкт-Петербург
35.2,4600000,"Краснодарский край, Новороссийск"
42.1,4514111,Санкт-Петербург
21.3,3315000,"Ленинградская область, Мурино"
32.3,4236540,"Ленинградская область, Мурино"
35.2,4294400,Санкт-Петербург
32.3,4457400,Санкт-Петербург
29.5,3683750,"Ленинградская область, Бугры"
20.9,3093200,Санкт-Петербург
38.3,4468112,Санкт-Петербург
37.6,5094800,Санкт-Петербург
51.8,3110000,"Волгоградская область, Волгоград"
33.4,4308600,Санкт-Петербург
35.9,4303200,"Ленинградская область, Бугры"
36.9,6420600,Санкт-Петербург
57.0,3479105,"Татарстан, Набережные Челны"
89.3,14562420,Москва
25.3,3114360,"Ленинградская область, Мурино"
81.6,14979609,Москва
64.0,2590000,"Краснодарский край, Краснодар"
36.5,7117500,Санкт-Петербург
34.6,7000000,"Краснодарский край, Сочи"
20.3,3938200,Санкт-Петербург
30.5,3755190,"Ленинградская область, Мурино"
34.0,4168023,"Ленинградская область, Янино-1"
34.1,4087200,"Ленинградская область, Бугры"
52.2,9187200,Санкт-Петербург
35.6,7821935,Санкт-Петербург
57.9,11501581,"Московская область, Заречье"
32.6,4283006,Санкт-Петербург
52.0,12100000,"Краснодарский край, Краснодар"
34.7,4161600,"Ленинградская область, Бугры"
32.9,6119400,Санкт-Петербург
34.7,4164000,"Ленинградская область, Бугры"
20.9,3103650,Санкт-Петербург
35.5,4193720,
51.3,9028800,
70.9,13754600,
37.4,4408480,"Ленинградская область, Мурино"
52.0,6260000,"Московская область, Котельники"
46.7,6252440,"Ленинградская область, Мурино"
55.4,5922450,
32.4,4438800,
25.4,3577170,
34.7,4162800,"Ленинградская область, Бугры"
25.9,3877230,"Ленинградская область, Мурино"
36.0,4860000,"Московская область, Ленинский г.о."
35.4,5009100,Санкт-Петербург
88.5,15310500,Санкт-Петербург
38.3,5285400,Санкт-Петербург
39.4,4839288,"Ленинградская область, Мурино"
39.8,5820720,Санкт-Петербург
108.7,6500000,"Краснодарский край, Краснодар"
35.9,4225430,Санкт-Петербург
30.4,3591920,"Ленинградская область, Мурино"
28.0,3949410,"Ленинградская область, Мурино"
21.4,4130200,Санкт-Петербург
85.9,23751187,Санкт-Петербург
65.5,8550360,"Ленинградская область, Бугры"
39.9,5988474,Санкт-Петербург
31.4,6045714,Москва
38.1,5593671,"Ленинградская область, Бугры"
32.6,4494660,"Ленинградская область, Мурино"
28.0,3388000,"Ленинградская область, Мурино"
50.2,5920060,"Ленинградская область, Мурино"
52.1,6434350,Санкт-Петербург
70.5,7927875,Санкт-Петербург
46.6,9388735,"Московская область, Заречье"
40.7,4896888,"Ленинградская область, Янино-1"
97.9,19601371,"Московская область, Заречье"
57.5,7662996,"Ленинградская область, Бугры"
36.0,4791990,"Ленинградская область, Мурино"
35.3,4900258,Санкт-Петербург
33.3,5274388,Санкт-Петербург
60.0,2400002,"Республика Дагестан, Махачкала"
51.0,6003877,Санкт-Петербург
33.2,6158600,Санкт-Петербург
71.0,5100000,"Тульская область, Тула"
43.3,4889510,"Ленинградская область, Мурино"
40.0,5325320,"Ленинградская область, Мурино"
39.0,4650000,"Краснодарский край, Новороссийск"
26.0,3485098,Санкт-Петербург
35.0,2450000,"Калининградская область, Калининград"
36.3,4624425,"Ленинградская область, Мурино"
53.6,10417086,Москва
55.6,6525399,Санкт-Петербург
40.0,6548000,Санкт-Петербург
37.6,7964265,"Московская область, Заречье"
30.5,3756420,"Ленинградская область, Мурино"
32.1,4368320,"Ленинградская область, Мурино"
20.0,3090000,Санкт-Петербург
33.2,3980400,
89.3,14562420,
32.9,4385475,
70.2,11477700,Санкт-Петербург
25.5,3087920,"Ленинградская область, Мурино"
32.8,7187438,Санкт-Петербург
43.3,4889510,
42.4,4583352,
20.6,3151800,
38.7,4465980,Санкт-Петербург
21.1,3119424,"Ленинградская область, Мурино"
36.8,6384800,Санкт-Петербург
23.6,3014400,"Ленинградская область, Мурино"
51.1,6336400,Санкт-Петербург
24.3,3104000,"Ленинградская область, Мурино"
43.2,5292000,Санкт-Петербург
39.8,4879779,"Ленинградская область, Мурино"
102.3,3887403,"Республика Дагестан, Махачкала"
25.4,3577170,"Ленинградская область, Мурино"
33.9,4099480,"Ленинградская область, Мурино"
44.9,5763225,"Ленинградская область, Мурино"
74.3,20955420,Москва
34.7,4162800,"Ленинградская область, Бугры"
66.2,6850000,"Калининградская область, Калининград"
38.6,6760250,"Татарстан, Казань"
33.0,5078920,"Ленинградская область, Мурино"
54.7,9189600,Санкт-Петербург
22.0,4635670,Санкт-Петербург
33.3,5894100,Санкт-Петербург
25.4,3122970,"Ленинградская область, Мурино"
38.0,4729755,Санкт-Петербург
32.1,4368320,"Ленинградская область, Мурино"
36.9,6402150,Санкт-Петербург
58.5,7775180,"Ленинградская область, Мурино"
39.4,11200000,Москва
39.8,4717485,"Ленинградская область, Мурино"
63.5,12350750,Санкт-Петербург
29.6,3693750,"Ленинградская область, Бугры"
46.2,6147260,"Ленинградская область, Мурино"
50.7,6236100,Санкт-Петербург
90.7,6650000,"Московская область, Андреевка"
32.5,4218500,Санкт-Петербург
54.9,5872160,"Ленинградская область, Бугры"
64.7,10539630,"Московская область, Котельники"
33.2,3980400,"Ленинградская область, Бугры"
35.0,4413214,Санкт-Петербург
24.1,1380000,"Удмуртия, Ижевск"
60.8,7934400,Санкт-Петербург
51.2,6758400,Санкт-Петербург
42.8,5715135,"Ленинградская область, Мурино"
52.4,8908000,Санкт-Петербург
61.8,12421800,Санкт-Петербург
43.0,5400000,"Краснодарский край, Краснодар"
57.8,7698960,"Ленинградская область, Бугры"
44.9,5763225,"Ленинградская область, Мурино"
42.0,2730000,"Калининградская область, Калининград"
49.5,7217100,
29.1,4175850,
43.3,4889510,
33.9,5340825,Санкт-Петербург
34.0,5378320,Санкт-Петербург
69.4,11789500,Москва
35.9,4312800,
32.6,4283006,
33.3,5860800,
57.5,7662996,"Ленинградская область, Бугры"
61.5,8025750,"Ленинградская область, Бугры"
72.6,2611803,"Республика Дагестан, Каспийск"
20.6,3151800,Санкт-Петербург
67.2,12837031,"Московская область, Заречье"
37.2,6826200,Санкт-Петербург
45.5,9077250,Санкт-Петербург
25.4,3503820,"Ленинградская область, Мурино"
53.8,9172900,Санкт-Петербург
34.7,4161600,"Ленинградская область, Бугры"
42.9,9656279,"Московская область, Заречье"
83.0,4200000,"Ростовская область, Таганрог"
28.0,3388000,"Ленинградская область, Мурино"
40.4,2830000,"Калужская область, Калуга"
44.9,6066900,"Ленинградская область, Бугры"
68.3,9000378,Санкт-Петербург
59.9,7621824,Санкт-Петербург
33.8,6097520,"Московская область, Одинцово"
